Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.down	37_pcw	1022	14	0.121618394314161	1	ENSG00000138593:ENSG00000164031:ENSG00000089195:ENSG00000169057:ENSG00000102908:ENSG00000078269:ENSG00000196502:ENSG00000144306:ENSG00000125779:ENSG00000112425:ENSG00000146386:ENSG00000137338:ENSG00000158528:ENSG00000040199
DEG.down	4_mos	468	6	0.301516536725168	1	ENSG00000119772:ENSG00000137166:ENSG00000008300:ENSG00000110367:ENSG00000106261:ENSG00000137338
DEG.down	10_mos	556	5	0.628728306365405	1	ENSG00000138074:ENSG00000114302:ENSG00000112685:ENSG00000106261:ENSG00000177352
DEG.down	1_yrs	1191	8	0.896609717773789	1	ENSG00000197894:ENSG00000117448:ENSG00000119772:ENSG00000124562:ENSG00000160917:ENSG00000188536:ENSG00000137338:ENSG00000177352
DEG.down	2_yrs	4636	46	0.454171117640366	1	ENSG00000115145:ENSG00000155100:ENSG00000171862:ENSG00000178053:ENSG00000138593:ENSG00000197894:ENSG00000170921:ENSG00000160716:ENSG00000197157:ENSG00000108788:ENSG00000102100:ENSG00000134910:ENSG00000106853:ENSG00000117448:ENSG00000119772:ENSG00000104064:ENSG00000114302:ENSG00000188322:ENSG00000157106:ENSG00000112685:ENSG00000185104:ENSG00000110422:ENSG00000183354:ENSG00000155886:ENSG00000080845:ENSG00000167535:ENSG00000168300:ENSG00000132964:ENSG00000198055:ENSG00000169057:ENSG00000114861:ENSG00000137166:ENSG00000102908:ENSG00000127337:ENSG00000110367:ENSG00000050438:ENSG00000088387:ENSG00000141627:ENSG00000035115:ENSG00000131791:ENSG00000196652:ENSG00000106261:ENSG00000144306:ENSG00000178104:ENSG00000146386:ENSG00000158528
DEG.down	3_yrs	2884	26	0.685398565190698	1	ENSG00000155100:ENSG00000164031:ENSG00000170921:ENSG00000160716:ENSG00000197157:ENSG00000196911:ENSG00000117448:ENSG00000114302:ENSG00000188322:ENSG00000112685:ENSG00000139684:ENSG00000149187:ENSG00000132964:ENSG00000169057:ENSG00000114861:ENSG00000127337:ENSG00000008300:ENSG00000110367:ENSG00000050438:ENSG00000088387:ENSG00000141627:ENSG00000131791:ENSG00000133687:ENSG00000146386:ENSG00000137338:ENSG00000158528
DEG.down	4_yrs	80	0	1	1	
DEG.down	8_yrs	1660	18	0.344016773877227	1	ENSG00000138074:ENSG00000134910:ENSG00000119772:ENSG00000114302:ENSG00000188322:ENSG00000157106:ENSG00000112685:ENSG00000183354:ENSG00000075461:ENSG00000149187:ENSG00000114861:ENSG00000177548:ENSG00000008300:ENSG00000110367:ENSG00000188536:ENSG00000106261:ENSG00000186812:ENSG00000137338
DEG.down	11_yrs	987	10	0.488386062570038	1	ENSG00000165458:ENSG00000138074:ENSG00000119772:ENSG00000114302:ENSG00000075461:ENSG00000100726:ENSG00000115129:ENSG00000177548:ENSG00000188536:ENSG00000177352
DEG.down	13_yrs	1568	12	0.839451218584581	1	ENSG00000197894:ENSG00000117448:ENSG00000119772:ENSG00000104064:ENSG00000114302:ENSG00000124562:ENSG00000132964:ENSG00000127337:ENSG00000188536:ENSG00000141627:ENSG00000131791:ENSG00000118507
DEG.down	15_yrs	71	1	0.499632277762608	1	ENSG00000115129
DEG.down	18_yrs	2698	32	0.129873996696592	1	ENSG00000155100:ENSG00000170921:ENSG00000197157:ENSG00000134910:ENSG00000106853:ENSG00000117448:ENSG00000119772:ENSG00000104064:ENSG00000114302:ENSG00000188322:ENSG00000157106:ENSG00000112685:ENSG00000123607:ENSG00000075461:ENSG00000149187:ENSG00000132964:ENSG00000198055:ENSG00000169057:ENSG00000114861:ENSG00000127337:ENSG00000008300:ENSG00000110367:ENSG00000050438:ENSG00000173276:ENSG00000088387:ENSG00000141627:ENSG00000131791:ENSG00000106261:ENSG00000118507:ENSG00000137338:ENSG00000103489:ENSG00000158528
DEG.down	19_yrs	1381	5	0.997854434911152	1	ENSG00000119772:ENSG00000132964:ENSG00000127337:ENSG00000188536:ENSG00000118507
DEG.down	21_yrs	1579	8	0.987931463117045	1	ENSG00000117448:ENSG00000119772:ENSG00000140474:ENSG00000124562:ENSG00000188536:ENSG00000196502:ENSG00000118507:ENSG00000177352
