NPS_common-rare	NPS_single	observed_overlap	expected_overlap_mean	expected_overlap_std	empirical_p	obs_exp	rare_dataset	common_dataset	logp
3	5.0	2	0.93	0.9301075206662939	0.1249886266268031	2.150537634408602	alcoholintake_FDR_25	GSCAN_DPW_magma	0.903129503935495
4	1.0	195	154.6	11.006361796706484	0.00012098880599977186	1.2613195342820183	alcoholintake_FDR_25	GSCAN_DPW_magma	3.9172548091663395
4	1.5	152	112.72	9.197912806718708	9.750271416959156e-06	1.34847409510291	alcoholintake_FDR_25	GSCAN_DPW_magma	5.010983294737668
4	2.0	79	56.61	6.6361057857752686	0.00037046663894933996	1.3955131602190425	alcoholintake_FDR_25	GSCAN_DPW_magma	3.431250894763057
4	3.0	5	7.45	2.6167728216259047	0.8254323256364553	0.6711409395973155	alcoholintake_FDR_25	GSCAN_DPW_magma	0.08331852725574622
4	4.0	2	2.03	1.3671503209230507	0.5087534690329714	0.9852216748768474	alcoholintake_FDR_25	GSCAN_DPW_magma	0.293492616436521
4	5.0	2	0.92	0.9019977827023745	0.11558660327136122	2.1739130434782608	alcoholintake_FDR_25	GSCAN_DPW_magma	0.9370924986358772
5	1.0	140	112.85	8.696407304168774	0.0008981991036615999	1.2405848471422243	alcoholintake_FDR_25	GSCAN_DPW_magma	3.046627382667888
5	1.5	111	86.93	9.063393404238834	0.003956751273117364	1.2768894512826412	alcoholintake_FDR_25	GSCAN_DPW_magma	2.402661249230491
5	2.0	68	51.36	7.118314407217484	0.00970317156478763	1.32398753894081	alcoholintake_FDR_25	GSCAN_DPW_magma	2.013086289655882
5	3.0	5	8.16	2.629524671875128	0.8852674939014397	0.6127450980392157	alcoholintake_FDR_25	GSCAN_DPW_magma	0.05292548232777959
5	4.0	2	1.99	1.3303758867327684	0.49700130972245654	1.0050251256281406	alcoholintake_FDR_25	GSCAN_DPW_magma	0.30364246679084045
5	5.0	2	0.98	1.0675204916066015	0.1696662003288491	2.0408163265306123	alcoholintake_FDR_25	GSCAN_DPW_magma	0.7704046660659245
6	1.0	112	86.33	9.114883433154809	0.002429218238744041	1.297347387930036	alcoholintake_FDR_25	GSCAN_DPW_magma	2.6145334668232443
6	1.5	86	64.73	7.624768848955358	0.002638718793800975	1.3285957052371389	alcoholintake_FDR_25	GSCAN_DPW_magma	2.5786068897374093
6	2.0	62	42.21	6.369136519183743	0.0009444336552870738	1.4688462449656479	alcoholintake_FDR_25	GSCAN_DPW_magma	3.024828545052617
6	3.0	5	8.04	3.3193975356983083	0.8201216631702137	0.6218905472636816	alcoholintake_FDR_25	GSCAN_DPW_magma	0.08612171624541846
6	4.0	2	2.34	1.5570484899321537	0.5864264090062891	0.8547008547008548	alcoholintake_FDR_25	GSCAN_DPW_magma	0.23178647999815752
6	5.0	2	1.07	1.0607073111843814	0.19030485353982457	1.8691588785046729	alcoholintake_FDR_25	GSCAN_DPW_magma	0.720550135314221
7	1.0	96	71.07	6.7204984934155	0.00010381551268767725	1.350780920219502	alcoholintake_FDR_25	GSCAN_DPW_magma	3.983737746956856
7	1.5	72	52.22	6.289006280804624	0.0008299489611310598	1.3787820758330143	alcoholintake_FDR_25	GSCAN_DPW_magma	3.08094861434765
7	2.0	54	35.03	5.783519689600788	0.0005190178050929341	1.5415358264344847	alcoholintake_FDR_25	GSCAN_DPW_magma	3.2848177432671997
7	3.0	5	8.07	2.9060454229072197	0.8546114596904558	0.6195786864931846	alcoholintake_FDR_25	GSCAN_DPW_magma	0.06823128792069329
7	4.0	2	2.0	1.3564659966250536	0.5	1.0	alcoholintake_FDR_25	GSCAN_DPW_magma	0.3010299956639812
7	5.0	2	0.82	0.8047359815492283	0.07128064325063156	2.4390243902439024	alcoholintake_FDR_25	GSCAN_DPW_magma	1.1470283897941438
8	1.0	85	61.63	6.632729453249243	0.00021299470718130065	1.3791984423170534	alcoholintake_FDR_25	GSCAN_DPW_magma	3.671631188441613
8	1.5	61	43.71	6.028756090604429	0.0020658893196301145	1.3955616563715396	alcoholintake_FDR_25	GSCAN_DPW_magma	2.6848929495935017
8	2.0	47	30.05	5.437600573782521	0.000912938727673201	1.5640599001663893	alcoholintake_FDR_25	GSCAN_DPW_magma	3.0395583693730193
8	3.0	5	7.83	2.9327632021695855	0.8327176465284913	0.6385696040868455	alcoholintake_FDR_25	GSCAN_DPW_magma	0.07950223189659064
8	4.0	2	2.32	1.6054905792311582	0.5789922276345931	0.8620689655172414	alcoholintake_FDR_25	GSCAN_DPW_magma	0.2373272661828638
8	5.0	2	0.84	1.026839812239475	0.1293056257208115	2.380952380952381	alcoholintake_FDR_25	GSCAN_DPW_magma	0.8883825797881627
9	1.0	74	55.86	5.728909145727483	0.000771700308784537	1.3247404224847834	alcoholintake_FDR_25	GSCAN_DPW_magma	3.1125513259734574
9	1.5	51	38.68	5.739128853754723	0.015909890594699168	1.3185108583247156	alcoholintake_FDR_25	GSCAN_DPW_magma	1.7983328067947641
9	2.0	38	24.9	4.716990566028302	0.002741518320095093	1.5261044176706828	alcoholintake_FDR_25	GSCAN_DPW_magma	2.562008847613941
9	3.0	5	7.95	2.4550967394381837	0.8852372366010224	0.6289308176100629	alcoholintake_FDR_25	GSCAN_DPW_magma	0.0529403262063453
9	4.0	2	2.17	1.4495171609884447	0.5466810848136305	0.9216589861751152	alcoholintake_FDR_25	GSCAN_DPW_magma	0.2622659524541138
9	5.0	2	0.97	1.0242558274181308	0.15730205276282566	2.061855670103093	alcoholintake_FDR_25	GSCAN_DPW_magma	0.8032656098767078
10	1.0	64	50.93	6.232583733893994	0.017994856760959556	1.2566267425878657	alcoholintake_FDR_25	GSCAN_DPW_magma	1.7448516059809196
10	1.5	43	33.29	5.280710179511843	0.03297467088656869	1.2916791829378191	alcoholintake_FDR_25	GSCAN_DPW_magma	1.4818195303641726
10	2.0	30	22.59	4.716131889589179	0.05806776585140371	1.3280212483399734	alcoholintake_FDR_25	GSCAN_DPW_magma	1.2360648830603995
10	3.0	5	7.38	2.4280856657045695	0.8365053252009924	0.6775067750677507	alcoholintake_FDR_25	GSCAN_DPW_magma	0.07753128996991344
10	4.0	2	2.21	1.4442645187083978	0.5578035442727919	0.9049773755656109	alcoholintake_FDR_25	GSCAN_DPW_magma	0.2535187305625726
10	5.0	2	0.97	0.9429209935090002	0.13733958665787177	2.061855670103093	alcoholintake_FDR_25	GSCAN_DPW_magma	0.8622042640080401
