,GENE,NPS_rare,NPS_common,NPS_commonrare
76,PSMD4,-0.3381555841685769,1.1908041601895416,-0.40267707641926603
77,FLAD1,-0.0953473414419447,-0.2082245656531126,0.01985365875792796
78,CBLL2,0.5915173992759812,0.1212861902942206,0.07174289185092912
79,ARIH2,-0.7456062219431393,-0.3686088745542039,0.2748370703310725
80,TRIP12,2.56851840967006,-1.34502373265084,-3.454718218756824
81,MEX3C,0.3685541176381898,-1.6777411577056478,-0.61833841200348
82,E2F6,0.208234065702471,-0.6936709937410412,-0.14444593128657032
83,SNW1,-1.311806982694692,-0.9150185297331712,1.2003276965990046
84,PRCC,2.0703362413005264,0.6034136997028742,1.249269250992093
85,C3AR1,-1.453970493723579,-0.6967497450430149,1.0130535708019701
86,BTRC,-0.877279761858128,-0.8893065151901894,0.7801706078649311
